vyber;900;0;4065
vyber;0;0;7596
vyber;0;0;1251
vloz;1100;1;7769
vloz;1200;2;641
ukaz;600;2;7700
vloz;1900;3;2461
vyber;1000;2;5381
vyber;1300;1;9905
vyber;900;0;8553
vyber;0;0;4195
vloz;1200;1;2085
ukaz;500;1;9935
vyber;1000;0;5547
vloz;900;1;6486
vloz;1400;2;1969
vloz;1800;3;8145
ukaz;700;3;9757
vloz;2200;4;8584
vyber;900;3;4199
ukaz;400;3;2531
ukaz;600;3;6127
ukaz;500;3;6187
vyber;900;2;7546
ukaz;500;2;5558
vloz;1300;3;2975
ukaz;800;3;8607
vloz;1600;4;308
vyber;1000;3;6780
vloz;2700;4;7587
vyber;900;3;4370
ukaz;700;3;8041
vyber;1500;2;1551
vyber;1000;1;6554
ukaz;600;1;1765
vyber;900;0;8910
vyber;0;0;1885
vyber;0;0;7979
vyber;0;0;515
vyber;0;0;2572
vloz;1500;1;1226
ukaz;600;1;9284
vloz;1600;2;8280
vloz;1600;3;3993
vloz;1900;4;6544
ukaz;600;4;1066
vloz;2000;5;3891
vloz;2200;6;4509
ukaz;600;6;1406
vyber;1100;5;1688
vyber;900;4;3061
vloz;3000;5;6831
vyber;900;4;532
ukaz;600;4;5356
vyber;1000;3;4943
vyber;700;2;1239
ukaz;600;2;3252
vyber;800;1;8667
vyber;1000;0;7651
vloz;1800;1;3999
vloz;1100;2;798
vyber;700;1;1148
ukaz;500;1;2602
ukaz;400;1;1932
ukaz;400;1;153
vyber;2000;0;720
vloz;1400;1;8321
ukaz;500;1;9906
vyber;1100;0;6453
vyber;0;0;3273
vyber;0;0;352
vloz;1500;1;4029
vloz;2300;2;6134
vloz;3100;3;5632
vloz;2700;4;3640
vloz;3100;5;2107
ukaz;1700;5;8293
ukaz;800;5;7838
vyber;2000;4;4034
vloz;3400;5;871
vloz;4900;6;3050
vyber;2800;5;6042
vloz;3900;6;5320
vloz;2500;7;894
ukaz;2800;7;1522
vloz;4700;8;3287
vloz;4200;9;324
vloz;4400;10;5665
vyber;2600;9;28
vyber;2200;8;6417
vyber;2500;7;2116
vloz;5000;8;6140
ukaz;1500;8;7842
ukaz;1700;8;8477
vloz;7800;9;8285
vyber;1900;8;8899
vyber;2000;7;7807
vloz;7400;8;6140
vloz;4100;9;505
vloz;6500;10;6270
vloz;2000;11;516
vyber;1900;10;4492
ukaz;1400;10;1737
vyber;2400;9;3640
vyber;3100;8;8965
vyber;2800;7;1388
ukaz;1600;7;4739
ukaz;1600;7;5093
vloz;5700;8;1116
vyber;2800;7;7158
vloz;7500;8;6102
vloz;3800;9;131
vyber;2700;8;9867
vyber;1600;7;4768
vloz;6100;8;757
ukaz;2200;8;7200
ukaz;1400;8;1383
vyber;4700;7;7501
vloz;4700;8;863
vloz;5600;9;8077
vloz;9300;10;7601
vloz;6600;11;6698
vyber;2200;10;203
ukaz;1300;10;154
vloz;5700;11;6450
ukaz;3300;11;1749
vyber;3200;10;6844
vyber;4200;9;3713
vyber;4400;8;7783
vloz;4800;9;8645
ukaz;700;9;5357
vyber;800;8;2501
vloz;2200;9;725
vyber;800;8;2843
vyber;700;7;8138
vyber;1000;6;2247
vloz;1300;7;419
vyber;800;6;7295
ukaz;500;6;9692
vyber;1000;5;672
vloz;2000;6;8764
vyber;700;5;2411
vloz;1200;6;778
ukaz;400;6;7065
ukaz;600;6;9517
vyber;700;5;3383
vloz;1600;6;8311
vyber;800;5;4567
vloz;1400;6;286
vloz;1800;7;2384
vloz;1700;8;3307
vloz;1800;9;487
vloz;1800;10;1439
vyber;700;9;1967
vloz;1700;10;1488
ukaz;400;10;344
vloz;1900;11;6382
vloz;2100;12;5267
vyber;700;11;1931
ukaz;500;11;6834
vyber;800;10;2060
vloz;1800;11;374
ukaz;1100;11;7511
vloz;3000;12;9384
vyber;1100;11;4874
vyber;800;10;2347
vyber;800;9;8582
vyber;700;8;230
vyber;800;7;2292
ukaz;500;7;1992
vloz;2000;8;8898
vloz;1600;9;5984
vloz;2100;10;8905
vloz;19800;11;235
ukaz;600;11;1352
vloz;1800;12;6777
ukaz;400;12;3896
vyber;700;11;4468
vloz;1400;12;2392
vloz;1400;13;1396
vloz;2000;14;9415
ukaz;400;14;1551
ukaz;400;14;2612
vloz;1300;15;777
vloz;2100;16;4450
vloz;1600;17;648
ukaz;400;17;9431
vyber;700;16;3652
vloz;2000;17;2944
vloz;2300;18;8045
vloz;1600;19;453
vloz;2200;20;8850
vyber;800;19;9203
ukaz;400;19;7978
vyber;700;18;7957
vyber;600;17;1169
vyber;700;16;1799
ukaz;400;16;7950
vloz;3500;17;4163
vloz;1600;18;1465
ukaz;600;18;8397
vloz;1900;19;1720
ukaz;400;19;5194
vloz;2000;20;5633
vyber;1000;19;8159
vyber;700;18;271
vyber;700;17;5205
vyber;600;16;3107
ukaz;400;16;599
vloz;1500;17;466
ukaz;400;17;3507
vyber;700;16;6849
vloz;2000;17;6859
vyber;700;16;4396
vyber;700;15;2740
vyber;700;14;530
ukaz;400;14;8555
vyber;700;13;616
vloz;1300;14;6345
ukaz;400;14;5357
vloz;1400;15;5745
ukaz;400;15;7227
vloz;1500;16;5583
ukaz;400;16;4538
ukaz;400;16;7321
vloz;2000;17;8463
vyber;700;16;1727
vyber;700;15;6221
vloz;2000;16;9887
ukaz;400;16;3325
ukaz;400;16;253
ukaz;400;16;500
vyber;700;15;7678
vloz;1600;16;1291
ukaz;500;16;9948
vyber;700;15;8763
vloz;1500;16;647
vyber;800;15;3387
vloz;1700;16;1941
vyber;900;15;6305
vyber;700;14;2021
vloz;1400;15;4524
ukaz;600;15;4330
ukaz;500;15;6674
vloz;1600;16;1621
vloz;2100;17;7767
ukaz;400;17;5625
ukaz;500;17;1794
vyber;800;16;6650
ukaz;400;16;2696
vloz;2200;17;5409
vyber;700;16;6476
vloz;1700;17;2147
vyber;13900;16;6065
vloz;1600;17;763
ukaz;600;17;9734
vyber;800;16;2843
vloz;1700;17;4322
vyber;700;16;3923
ukaz;500;16;6273
vloz;2100;17;7071
vloz;21700;18;8348
vloz;2100;19;8699
vloz;1600;20;398
ukaz;600;20;4258
ukaz;500;20;5795
ukaz;400;20;8264
vloz;5600;21;2063
ukaz;400;21;2528
vyber;1000;20;7638
vyber;1400;19;1453
ukaz;500;19;2550
vyber;800;18;3316
vyber;700;17;9111
vyber;700;16;2175
vyber;700;15;5382
vyber;700;14;9765
vloz;1700;15;8042
ukaz;400;15;5085
vloz;2100;16;9364
vloz;1500;17;5925
vyber;1000;16;2170
vyber;800;15;8561
vloz;2500;16;2872
ukaz;600;16;9193
ukaz;500;16;9527
vloz;1600;17;101
ukaz;500;17;2228
vyber;900;16;5109
ukaz;500;16;1567
vyber;700;15;3562
vloz;1700;16;3936
vyber;800;15;5504
vyber;700;14;207
vloz;1700;15;1202
ukaz;700;15;1311
vyber;1000;14;7515
vyber;700;13;8294
vloz;1700;14;1521
vyber;800;13;3796
vyber;800;12;6265
vloz;1500;13;615
vyber;900;12;2313
vloz;3000;13;9105
vloz;1500;14;2524
vloz;2500;15;3949
vloz;17900;16;84
